ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
868,Enterprise Products Operating LLC,U.S. GAAP,Con,USD,USD - USD 1.0000,23022.3,-0.14,4770.7,0.2,4880.8,2513.1,63.1,2576.8,23164.4,23308,4435.8,4066.8,3025.1,3300.5,-2258.8,92.3,23901.6,2542.8,5.68,5.19,-7.2,5.43,4.57,4.5,BBB+
869,"EP Energy, a.s.",IFRS,Con,USD,EUR - USD 0.8237,2910.46,0.28,551.77,0.18,567.89,45.73,242.07,153.49,1692.07,1821.1,449.18,381.14,162.31,197.76,21.07,25.08,1692.07,0,6.66,5.7,-7.1,7.04,3.17,3.03,BB+
870,Eversholt Investment Limited,IFRS,Noncon,USD,GBP - USD 0.6337,532.43,0,415.5,0.78,415.5,-66.75,181,0,2520.59,2520.59,258.01,260.38,28.09,220.61,11.68,-9.31,2520.59,0,2.82,2.82,-3.4,2.96,6.07,6.07,BBB+
871,Fingrid Oyj,IFRS,Con,USD,EUR - USD 0.9185,653.48,0.05,305.73,0.46,308.7,112.77,118.51,257.18,1244.91,1268.66,255.01,233.59,167.52,70.77,-4.7,0,1244.91,0,10.18,9.29,-20.73,11.07,4.1,4.06,A+
872,Fortescue Metals Group Limited,IFRS,Con,USD,USD - USD 1.0000,8447,0.19,4731,0.56,4760,2093,1838,121,4478,4681,3979,4256,729,755,2772,0,4478,-27,10.61,9.98,-10.93,11.48,0.98,0.95,BB+
873,Fortum Oyj,IFRS,Con,USD,EUR - USD 0.9185,3765.92,-0.15,1256.4,0.33,1271.64,-250.41,8929.78,1134.46,6540.01,6661.95,1305.39,1336.96,573.76,1257.49,-326.62,-6815.46,6540.01,0,5.36,5.14,-7.07,4.59,5.02,4.98,BBB+
874,Freeport-McMoRan Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,14830,-0.06,4261,0.28,4332,-4122,4128,1232,15950,16518,3016,3036,2813,6,217,-6355,15950,1515,5.06,4.71,-7.55,4.8,4.54,4.47,BB+
875,"Gas Natural SDG, S.A.",IFRS,Con,USD,EUR - USD 0.9185,28323.35,0.05,5731.08,0.2,5797.5,1598.15,2534.57,3186.72,21620.03,21333.7,3695.48,3897.99,2046.82,989.66,861.51,2.18,22437.67,293.96,4.51,4.3,-6.54,5.44,3.85,3.8,BBB+
876,"General Mills, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,15619.8,-0.05,3520.9,0.22,3709,1657.5,62.9,1838.8,9773.2,11278,2283.5,2252.3,684.4,1135.1,432.8,-21.7,9773.2,-1538.9,8.96,5.8,-14.37,12.37,3.03,2.76,BBB+
877,Global Switch Holdings Limited,U.S. GAAP,Con,USD,GBP - USD 0.6009,595.77,0.05,394.41,0.66,394.41,246.3,795.47,3.33,2115.16,2115.16,324.51,329.51,158.1,785.49,-614.08,0,2115.16,0,6.46,6.46,-8.3,6.41,5.36,5.36,BBB+
878,GNL Quintero S.A.,IFRS,Noncon,USD,USD - USD 1.0000,188.06,-0.05,152.09,0.8,152.09,28.09,256.87,21.24,1097.38,1097.38,100.66,99.31,9.78,30.41,59.12,0,1097.38,0,2.9,2.9,-3.2,2.8,7.2,7.2,BBB+
879,"Grupo Ferroviario Mexicano, S.A. de C.V.",Local GAAP,Con,USD,USD - USD 1.0000,1424.25,-0.09,550.89,0.38,621.63,360.24,245.29,0,241.43,736.59,494.7,494.7,278.08,100,116.62,0,241.43,0,21.69,6.19,-41.09,23.26,1.19,0.44,BBB+
880,"Grupo Mexico, S.A.B. de C.V.",U.S. GAAP,Con,USD,USD - USD 1.0000,8173.49,0,3322.62,0.4,3488.8,1222.67,1212.69,129.69,7332.14,8495.42,1768.33,1768.33,1584.24,292.31,-108.23,0,7332.14,-71.74,5.21,4.01,-13.16,8.01,2.44,2.21,BBB+
881,Grupo Televisa S.A.B.,Local GAAP,Con,USD,MXN - USD 20.7314,4644.5,0.09,1690.29,0.36,1704.56,179.49,2558.63,126.81,6668.29,6725.4,1349.06,1373.57,1467.05,52.29,-145.77,-66.9,6668.29,0,4.47,4.34,-7.67,4.52,4.01,4.01,BBB+
882,Hammerson plc,Local GAAP,Con,USD,GBP - USD 0.6748,349.73,0.14,249.7,0.71,249.7,1077.06,54.83,0,4535.57,4535.57,276.82,316.69,270.15,242.74,-196.21,874.48,4535.57,0.89,2.71,2.71,-4.09,2.9,10.15,10.15,BBB+
883,"Hasbro, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5019.82,0.12,1004.14,0.2,1056.73,551.38,0,522.29,1732.6,2153.28,733.08,774.87,154.9,248.88,371.09,12.44,1732.6,-107.87,9.18,6.13,-12.44,11.34,2.04,1.73,BBB+
884,Hochschild Mining Plc,IFRS,Con,USD,USD - USD 1.0000,688.24,0.46,328.67,0.47,330.13,45.55,139.98,36.31,327.38,337.57,169.63,298.34,129.99,7,161.35,-0.92,327.38,0,7.23,6.92,-16.01,11.48,1.08,1.05,BB+
885,HP Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,48238,-0.53,4447,0.09,4647,2666,6288,1595,8333.2,9933.2,2028,2783.5,433,858,1492.5,-474,8333.2,-1113,6.71,4.51,0,13.98,2.14,1.87,BBB+
886,Hysan Development Company Limited,IFRS,Con,USD,HKD - USD 7.7555,415.7,0.05,338.21,0.81,338.21,632.07,469.34,204.89,831.28,831.28,300.3,310.49,76.2,161.82,72.46,8.25,831.28,0.77,11.91,11.91,-14.75,13.39,2.33,2.33,BBB+
887,Hyundai Motor Company,Local GAAP,Con,USD,KRW - USD 1099.3000,81193.76,0.02,9187.48,0.11,9187.48,6683.16,23612.03,15235.79,50052.49,50052.49,13228.42,1929.32,4299.01,533.89,-2903.58,-315.29,50052.49,2.46,10.93,10.93,-52.82,7.99,4.94,4.94,BBB+
888,"Iberdrola, S.A.",IFRS,Con,USD,EUR - USD 0.9487,30795.19,-0.07,8229.89,0.26,8390.11,2875.41,1510.17,4525.35,33444.29,34449.35,6008.75,6161.48,5171.08,738.91,-64.72,-41.21,33720.99,-1443.77,5.7,5.16,-14.06,6.64,4.13,4.05,BBB+
889,IDEX Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,2113.04,0.04,538.99,0.25,557.59,271.11,45.66,1.05,1020.87,1169.67,372.26,399.92,38.24,102.65,259.02,470.89,1020.87,-27.03,11.04,7.69,-13.06,14.54,2.1,1.89,BBB+
890,Ineos Group Holdings S.A.,IFRS,Noncon,USD,EUR - USD 0.9487,13291.77,-0.08,2451.57,0.18,2653,1322.55,2164.65,76.53,8503.11,10114.58,1885.11,2073.89,768.63,254.35,1028.46,132.08,8503.11,0,5.27,3.9,-8.11,5.77,3.8,3.46,BB+
891,InRetail Real Estate Corp.,IFRS,Noncon,USD,PEN - USD 3.3560,103.94,0.06,85.22,0.82,90.08,38.12,32.49,13.25,374.44,408.49,75.87,76.28,36.26,0,40.02,7.83,374.44,0,3.7,3.3,-3.5,3.2,4.5,4.4,BB+
892,Intel Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,59387,0.07,24545,0.41,24827,10316,4958.7,4634,27046,29302,23037,21808,9625,4925,7258,15470,27046,-1479,34.45,24.67,-39.69,35.99,1.18,1.1,A+
893,Interconexion Electrica S.A. E.S.P.,Local GAAP,Con,USD,COP - USD 3000.7100,2202.99,0.25,1095.67,0.49,1095.67,712.04,373.18,557.94,4156.16,4188.14,2801.64,560.06,788.02,106.31,-334.27,0,4156.16,0,10.49,10.49,-5.52,3.74,3.82,3.79,BBB+
894,International Business Machines Corp. (IBM),U.S. GAAP,Con,USD,USD - USD 1.0000,79919,-0.02,18030,0.22,19538,11881,2000,7513,42418,54482,16063,16958,4150,5256,7552,5709,42418,-3298,14.78,6.99,-19.61,15.57,2.79,2.35,A+
895,ITT Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,2405.4,-0.03,347.9,0.14,369,181.9,460.7,214.3,216.3,385.1,257.8,240.7,111.4,44.6,96.7,5.8,216.3,-65.5,58.11,11.04,0,77.31,1.04,0.62,BBB+
896,Jaguar Land Rover Automotive plc,IFRS,Con,USD,GBP - USD 0.6757,32360.52,0.12,5554.24,0.17,5625.28,3016.13,5661.8,236.79,3779.78,4348.08,5437.32,5367.77,4282.97,221.99,862.81,0,3779.78,0,16.77,14.04,-26.89,16.32,0.77,0.68,BB+
897,Jebel Ali Free Zone FZE,IFRS,Noncon,USD,AED - USD 3.6725,416.85,0.07,335.98,0.8,335.98,187.96,217.76,50.36,1322.48,1322.48,332.5,601.19,16.91,0,584.28,0,1322.48,0,7.42,7.42,-3.34,7.38,3.94,3.94,BBB+
898,Johnson Controls International Public Limited Comp,U.S. GAAP,Con,USD,USD - USD 1.0000,37674,0,3084,0.08,3486,-868,684,1747,16353,19569,1532,1587,1249,915,-577,-385,16353,-431,5.76,3.1,-13.5,8.7,6.16,5.89,BBB+
899,Joint Stock Company Federal Passenger Company,IFRS,Con,USD,RUB - USD 56.2584,3292.22,-0.05,330.16,0.1,652.8,-178.23,199.88,47.09,312.4,1925.64,313.5,322.01,518.2,72.74,-268.92,0,312.4,80.29,13.62,1.87,-74.61,13.74,2.95,0.95,BB+
900,JSC Freight One,IFRS,Con,USD,RUB - USD 60.6569,1351.31,-0.01,326.39,0.24,403.45,15.17,373.73,161.84,954.14,1262.36,218.99,235.57,9.03,0,226.54,2.56,954.14,0,2.4,1.9,-3,2.4,3.1,2.9,BB+
901,JSC National Company Kazakhstan Engineering,IFRS,Con,USD,KZT - USD 333.2900,214.02,0.12,0.92,0,0.92,-8.44,16.57,75.63,91.91,91.91,-2.48,16.69,12,0.22,4.47,0,91.91,0,0.1,0.1,-1.1,0.1,92.3,92.3,BB+
902,Kazakhtelecom JSC,IFRS,Con,USD,KZT - USD 182.3500,1141.89,0.09,337.7,0.29,350.34,41.04,163.96,128.18,500.72,601.83,269.85,259.52,335.66,154.81,-230.95,0,500.72,-0.6,10.46,7.55,-17,11.9,1.72,1.48,BB+
903,Kia Motors Corporation,Local GAAP,Con,USD,KRW - USD 1099.3000,42842.72,-0.01,3619.49,0.08,3619.49,2723.19,6643.14,1652.32,4278.45,4278.45,4473.48,2150.28,1837.08,257.89,55.31,142,4278.45,0,52.66,52.66,-66.87,49.03,1.06,1.06,BBB+
904,Klabin S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,2176.09,0.24,687.13,0.31,687.13,761.68,1983.74,870.99,5803.52,5803.52,138.05,241.48,787.68,137.33,-683.53,25.25,5803.52,-5.54,0.88,0.88,-4.2,1.58,8.45,8.45,BB+
905,Korea District Heating Corp.,Local GAAP,Noncon,USD,KRW - USD 1055.4000,2727.5,0.02,424.2,0.15,424.2,108.87,43.11,337.69,2411.98,2411.98,307.56,458.69,369.43,41.12,48.13,0,2411.98,0,4.54,4.54,-9.19,4.93,5.67,5.67,A+
906,"L Brands, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,12154,0.06,2704,0.22,3389,1253,2192,6,5721,11201,1922,1869,727,1171,-29,0,5721,-450,7.06,2.92,-12.32,8.53,3.31,2.12,BB+
907,La Poste,Local GAAP,Con,USD,EUR - USD 0.8477,22802.51,0.03,1609.12,0.07,1609.12,657.1,26743.9,5250.86,10498.19,10498.19,1418,3477.77,861.18,0,2616.58,2416.03,10498.19,0,9.71,9.71,-14.31,9.41,6.35,6.35,A+
908,Lennar Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,9741.3,0.15,1469.5,0.15,1532.7,911.8,800.1,0,4606.1,5111.7,1122.2,379.3,78.3,35.3,265.7,-24.6,4606.1,-0.4,4.99,4.26,-6.47,5.13,3.39,3.19,BB+
909,Lifestyle International Holdings Limited,IFRS,Con,USD,HKD - USD 7.7540,602.48,-0.02,279.52,0.46,291.35,202.57,969.84,942.37,2174.04,2268.7,217.35,208.7,1010.46,130.62,-932.38,265.94,2174.04,0,4.13,3.63,-21.34,4.58,7.59,7.57,BB+
910,Localiza Rent a Car S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,1362.37,0.13,311.7,0.22,360.33,125.61,519.34,200.21,1158.91,1402.08,854.92,881.43,987.18,42.81,-148.56,2.7,1158.91,-2.09,7.3,5.64,-10.08,2.3,3.89,3.72,BB+
911,Lockheed Martin Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,47248,0.02,6913,0.14,7115,3753,1837,0,15294,16910,6231,5189,1063,2048,2078,0,15294,-1990,11.38,8.77,-12.34,11.52,2.38,2.21,BBB+
912,McKesson Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,198533,0.04,4275,0.02,4749,5194,483,1240,8553,12345,3116,4744,562,253,3929,4031,8553,-2191,10.8,4.91,-17.24,13.57,2.6,2,BBB+
913,Millicom International Cellular S.A.,IFRS,Noncon,USD,USD - USD 1.0000,6249,-0.07,2156,0.34,2249,-51,947,143,5290,5848,1179,1168,1105,265,-202,-147,5290,0,3.6,3.1,-6.2,4.1,3,2.9,BB+
914,"Mohawk Industries, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,8959.1,0.1,1733,0.19,1858.1,930.2,29.3,1382.7,2518.6,3519.4,1487.4,1327.5,672.1,0,655.4,0,2518.6,9.3,26.96,9.15,-62.47,30.24,1.89,1.45,BBB+
915,Moody's Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,3604.2,0.03,1739.3,0.48,1834.7,266.6,524.9,300,3377.4,4140.6,415.5,1219.4,115.2,285.1,819.1,79.3,3377.4,-705.4,3.96,2.74,-13,12.67,2.27,1.95,BBB+
916,MRS Logistica S.A. (MRS),Local GAAP,Con,USD,BRL - USD 3.2585,1006.42,0.03,405.77,0.4,405.77,128.14,90.87,202.52,853.53,853.53,298.48,296.42,177.19,21.56,97.67,-9.06,853.53,0,5,5,-8.5,5.8,2.1,2.1,BB+
917,MTN Group Limited,IFRS,Con,USD,ZAR - USD 13.6844,10809.39,0,3816.54,0.35,4705.5,-191.02,2031.44,1438.72,6407.3,11741.11,2015.14,3391.31,2575.71,1446.32,-1061.87,64.45,6407.3,-193.29,6.15,2.49,-11.12,10.65,2.47,1.66,BB+
918,"Nabors Industries, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,2227.84,-0.42,656.99,0.29,672.68,-1011.38,64.1,0.3,3604.68,3730.28,421.06,531.9,395.45,50.92,85.53,-12.55,3604.68,-0.72,3.28,3.1,-5.76,3.56,5.54,5.49,BB+
919,"Nemak, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,3822.41,0.11,716.26,0.18,736.08,260.96,128.36,178.42,1397.3,1516.25,599.33,566.53,427.76,84.65,54.12,2.7,1397.3,-0.43,12.16,9.15,-19.55,13.37,2.06,1.95,BB+
920,Newfield Exploration Company,U.S. GAAP,Con,USD,USD - USD 1.0000,1673,-0.18,904,0.54,925,-1230,555,0,2450,2618,807,826,885,0,-59,81,2450,757,9.32,7.84,-11.75,9.32,2.83,2.71,BB+
921,"Nissan Motor Co., Ltd.",Local GAAP,Con,USD,JPY - USD 94.1500,102279.07,0.02,11831.24,0.11,11891.62,3637.24,8480.81,18401.78,50837.58,51320.64,10089.44,3991.01,13136.62,1001.66,-10147.27,0,50837.58,0,38.04,31.69,-85.23,40,4.38,4.36,BBB+
922,Nokia Corporation,IFRS,Con,USD,EUR - USD 0.9487,25239.8,0.91,2871.3,0.11,3233.9,-961.32,9830.29,390.01,4244.76,7145.57,1373.46,-952.88,502.79,1596.92,-3632.34,-6139.98,4244.76,-990.83,4.94,2.87,-14.41,8.82,2.21,1.48,BB+
923,"Nordstrom, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,14498,0.02,1738,0.11,2020,354,1007,11,2841.08,5097.08,1571,1648,846,256,546,0,2841.08,-194,12.72,4.77,-19.5,12.97,2.52,1.64,BBB+
924,Northern Electric PLC,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BBB+
925,Northern Ireland Electricity Networks Limited,IFRS,Con,USD,GBP - USD 0.8129,303.6,0.04,175.18,0.57,176.04,55.97,11.44,0,728.38,735.27,96.81,112.56,126.58,19.68,-33.71,0,728.38,0,3.07,3.04,-6.46,3.76,4.18,4.16,BBB+
926,Northern Powergrid Holdings Company,IFRS,Con,USD,GBP - USD 0.8129,945.38,-0.01,636.73,0.67,649.03,310.25,65.08,66.67,2451.84,2550.25,473.24,463.65,642.64,0,-178.99,0,2451.84,0,4.77,4.43,-10.74,5.08,3.92,3.85,BBB+
927,"NVR, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5712,0.12,686.8,0.12,732.6,425.2,200.7,0,600,966.4,423.6,387.8,22.4,0,365.4,-1,600,-417.3,17.29,6.9,-29.52,26.9,1.3,0.86,BBB+
928,Orange S.A.,Local GAAP,Con,USD,EUR - USD 0.9185,43806.21,0.02,13519.87,0.3,14786.06,2399.56,6308.11,6340.77,37755.58,44041.37,9443.66,9743.06,7111.59,1729.99,901.47,3502.45,41599.35,1667.94,5.47,3.79,-12.7,6.51,3.2,2.76,BBB+
929,"Orbital ATK, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4455,0.01,652,0.14,740,293,200,40,1450,2154,483,519,187,70,262,-4,1450,-130,8.79,4.22,-13.63,10.52,2.91,2.22,BB+
930,Orsted A/S,IFRS,Con,USD,DKK - USD 7.0528,8137.62,-0.13,1981.34,0.24,2087.11,1468.35,2624.63,489.04,4592.09,4499.08,1586.32,1385.82,2042.59,0,-656.77,-1288.57,5531.29,-7.51,6.17,4.8,-20.04,6.55,2.68,2.38,BBB+
931,"Owens & Minor, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,9723.43,0,284.32,0.02,354.32,108.79,103.39,0,574.55,1134.55,146.16,186.93,30.12,63.38,93.43,0,574.55,-71.03,6.24,2.49,-14.21,10.19,3.2,2.02,BB+
932,PAO SIBUR Holding,IFRS,Noncon,USD,RUB - USD 60.6569,6789.2,0.08,2304.78,0.33,2455.91,1832.26,999.64,441.63,5711.02,6617.8,1823.06,1826.21,2401.92,266.47,-781.63,55.99,5711.02,0,6.02,4.54,-12.66,6.5,2.65,2.43,BB+
933,PetroChina Company Limited,IFRS,Con,USD,CNY - USD 6.1190,373093.97,0.01,57359.21,0.15,59415.43,17514.63,12423.76,27639.81,88156.4,104606.14,48840.99,55623.79,50098.22,9719.73,-4194.15,-823.66,88156.4,0,15.17,9.87,-25.28,16.88,1.74,1.52,A+
934,Petroleos del Peru - Petroperu S.A.,IAS,Noncon,USD,PEN - USD 3.3560,3409.72,-0.03,258.68,0.07,258.68,126.84,74.09,1713.85,1963.07,1963.07,112.81,395.4,1129.3,0,-733.9,0,1963.07,0,5.74,5.74,-79.02,11.05,7.59,7.59,BBB+
935,Petroleos Mexicanos (Pemex),Local GAAP,Con,USD,MXN - USD 20.7314,52071.11,-0.07,17329.61,0.33,17329.61,-14301.59,7887.79,8497.54,95660.25,95660.25,-2134.3,-5142.25,8475.84,0,-13618.09,-905.68,95660.25,3545.35,0.35,0.35,-5.41,4.05,5.52,5.52,BBB+
936,Peugeot S.A.,IFRS,Noncon,USD,EUR - USD 0.9487,56797.72,-0.01,6124.17,0.1,6401.39,1431.43,12041.74,4125.65,8893.22,11110.99,5035.31,5181.83,3747.23,0,1434.59,-273.01,8893.22,349.95,13.44,8.33,-30.45,16.93,1.59,1.32,BB+
937,Pfizer Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,52824,0.08,20514,0.38,20806,7197,0,10688,41362.5,43686.5,14799,15901,1999,7317,6585,18368,41374.5,-3981,10.88,9.22,-18.29,14.14,2.1,2.02,A+
938,PGE Polska Grupa Energetyczna S.A.,Local GAAP,Con,USD,PLN - USD 3.5072,8024.35,-0.06,2122.78,0.26,2128.36,1037.29,1727.87,101.79,1440.75,1485.46,2180.09,1787.47,1817.97,587.65,-618.16,-7.98,1440.75,0,91.82,74.64,-46.45,88.67,0.7,0.68,BBB+
939,PJSC ALROSA,IAS,Con,USD,RUB - USD 60.6569,5227.6,0.41,2816.28,0.53,2819.48,2166.15,972.35,10.98,2346.56,2365.75,2381.48,2306.2,523.47,289.79,1492.94,-6.4,0,10.24,13.4,13.19,-16.28,15.43,0.82,0.81,BB+
940,PJSC Lukoil,U.S. GAAP,Con,USD,USD - USD 1.0000,107540,0,14590,0.13,14876,4746,3004,2168,13529,15817,12989,15488,14643,1357,-512,161,13529,-29,23.99,16.26,-46.22,25.68,1.07,0.93,BBB+
941,PJSC MegaFon,U.S. GAAP,Con,USD,RUB - USD 56.2584,5595.52,0.05,2462.21,0.44,2741.48,652.81,1263.99,1046.6,3847.76,5523.35,2148,2034.91,1033.55,683.06,318.3,3.36,3847.76,0,11.69,5.45,-13.62,12.37,2.02,1.56,BB+
942,PJSC Mobile TeleSystems (MTS),IFRS,Con,USD,RUB - USD 72.8827,5916.8,0.04,2361.18,0.39,2713,726.5,1463.08,736.81,4511.15,6622.11,2083.1,1976.98,1318.71,696.82,-38.54,-41,4511.15,0,6.89,3.91,-11.03,7.03,2.4,1.88,BB+
943,PJSC PhosAgro,IFRS,Noncon,USD,RUB - USD 60.6569,3095.15,-0.01,1198.73,0.38,1202.68,987.26,70.25,233.06,1852.65,1876.39,888.74,837.23,663.5,461.33,-287.45,3.59,1852.65,0,11.75,11.26,-25.93,14.64,1.56,1.55,BB+
944,PJSC RusHydro,IFRS,Con,USD,RUB - USD 72.8827,4768.1,0.05,943.91,0.19,972.88,432.74,674.96,813.25,2668,3221.01,727.73,811.62,1087.2,78.37,-353.95,-38.35,2668,0,3.26,3.04,-26.04,3.52,3.32,2.83,BB+
945,PJSC TransContainer,IFRS,Con,USD,RUB - USD 30.3727,1198.31,0.17,331.91,0.27,349.69,167.98,44.94,190.6,302.51,426.96,278.61,244.96,187.37,40.43,17.15,6.09,302.51,0,10.91,7.02,-18.43,12.09,1.22,0.91,BB+
946,PKP Intercity S.A.,Local GAAP,Con,USD,PLN - USD 3.5072,509.84,-0.01,54.32,0.1,54.32,-15.94,136.35,71.17,691.38,691.38,49.24,11.18,452.3,0,-441.12,0,691.38,0,7.85,7.85,-44.98,7.56,12.73,12.73,BBB+
947,PSP Swiss Property AG,Local GAAP,Noncon,USD,CHF - USD 0.9921,277.29,0,231.03,0.83,231.03,189.3,29.63,251.99,1985.69,1985.69,179.72,184.86,121.56,150.19,-86.89,6.95,1985.69,-0.1,6.1,6.1,-10.57,6.59,8.6,8.6,BBB+
948,PT Indosat Tbk,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BBB+
949,PTT Public Company Limited,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BBB+
950,Rede DOr Sao Luiz S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,2428.25,0.22,552.67,0.22,639.83,250.41,841.31,371.24,1737.23,2173,386.56,218.37,271.28,38.43,-91.33,135.61,1737.23,267.15,3.3,2.5,-4.9,3.3,3.4,3.1,BB+
951,RELX PLC,IFRS,Con,USD,GBP - USD 0.8129,8481.98,0.15,2855.21,0.33,2980.69,1428.22,199.29,1425.76,5981.06,6984.87,2200.76,2112.19,408.41,840.2,863.57,467.46,5981.06,-868.5,12.13,7.8,-13.74,14.72,2.31,2.06,BBB+
952,"Rogers Communications, Inc.",Local GAAP,Con,USD,CAD - USD 1.3427,10204.81,0.02,3792.36,0.37,3958.44,621.88,0,1207.27,11415.8,12744.47,2914.28,2870.34,1785.95,735.83,348.55,0,11415.8,0,6.18,5,-10.07,6.74,3.22,3.01,BBB+
953,Royal FrieslandCampina NV,IFRS,Noncon,USD,EUR - USD 0.9487,11595.87,-0.01,1294.4,0.11,1350.69,297.25,338.36,588.17,1670.71,2121.01,978.18,1025.61,597.66,286.71,179.19,386.85,1670.71,0,12.99,8.04,-45.93,29.28,1.64,1.35,BBB+
954,Ryanair Holdings plc,IFRS,Noncon,USD,EUR - USD 0.8783,7441.42,0.15,2148.92,0.28,2279.97,1775.13,4920.3,512.24,4580.44,5628.83,1946.37,2102.13,1386.43,0,715.7,-453.26,4580.44,-1256.06,24.44,10.03,-45.29,26.18,2.47,2.13,BBB+
955,S&P Global Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,5661,0.06,2525,0.44,2704,2106,717.6,0,3600,5032,1701,1348,115,380,853,-1321,3600,-1035,12.34,6.17,-14.93,16.06,1.94,1.49,BBB+
956,S.A.C.I. Falabella,Local GAAP,Con,USD,CLP - USD 667.2900,12870.54,0.02,1725.61,0.13,1959.34,1016.1,863.18,1606.64,10059.74,11695.85,1443.64,796.64,789.07,322.97,-315.4,-80.74,10059.74,-23.1,6.7,3.9,-8.2,6.8,6,5.8,BBB+
957,Salini Impregilo S.p.a.,IFRS,Con,USD,EUR - USD 0.8237,5091.79,0.28,529.2,0.1,569.27,92.69,814.53,575.86,1738.66,2059.16,362.45,268.97,346,0.51,-77.54,0,1738.66,196.67,3.02,2.61,-5.86,3.38,3.61,3.28,BB+
958,San Miguel Industrias PET S.A.,Local GAAP,Con,USD,USD - USD 1.0000,244.66,0.26,57.77,0.23,57.77,-4.71,23.61,37.66,301.84,301.84,34.49,-0.12,78.23,0,-78.35,-0.17,301.84,0,2.57,2.57,-7.63,2.99,5.22,5.22,BB+
959,Saudi Basic Industries Corporation (SABIC),Local GAAP,Noncon,USD,SAR - USD 3.7500,35420.43,-0.1,12304.75,0.34,12671.23,4757.04,16099.2,3547.97,16853.52,19785.36,8670.75,8489.79,3650.56,3977.01,862.21,0,16853.52,0,20.23,11.61,-31.56,22.64,1.87,1.65,A+
960,Scottish Power Limited,IFRS,Con,USD,GBP - USD 0.6748,9766.45,-0.07,2193.24,0.22,2221.7,716.36,96.03,901.3,7119.44,7347.07,1768.23,1574.24,1642.41,740.96,-809.13,-25.93,7119.44,0,7.04,6.51,-13.55,7.51,3.31,3.25,BBB+
961,Scottish Power UK plc,IFRS,Con,USD,GBP - USD 0.6468,9958.1,0.21,1050.25,0.1,1076.38,413.27,28.91,3170.69,6004.95,6004.95,1041.13,1213.2,911.87,309.21,-7.88,979.59,6004.95,1093.07,5.96,5.37,-9.28,5.39,5.58,5.71,BBB+
962,SEGRO PLC,Local GAAP,Con,USD,GBP - USD 0.8129,277.4,0.07,210.48,0.75,210.48,513.84,39.37,0,2059.54,2059.54,135.56,124.49,352.2,109.48,-337.19,-574.61,2059.54,388.85,2.52,2.52,-4.68,2.74,8.47,8.47,BBB+
963,Singapore Telecommunications Limited,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+
